id,u,v,key,osmid,length,name
1,255015605,1284479744,0,200029175,37.701,
2,255015605,1284479766,0,403167399,105.992,Avenida de la Marina
3,255015605,1284479773,0,1276425076,43.085,Avenida de la Marina
4,255015612,1284479835,0,200028847,28.289,Calle Moral
5,255015612,255015626,0,1270954406,16.649,Avenida de la Marina
6,255015612,257888216,0,370654129,132.053,Avenida de la Marina
7,255015612,4055452455,0,408760590,6.797,Calle Moral
8,255015619,7105789187,0,113213187,169.465,Avenida de la Marina
9,255015619,255015622,0,"[24009560, 23552138, 24009558]",244.935,
10,255015619,1284479744,0,"[1270954408, 1191468774, 1191468775]",200.642,Avenida de la Marina
11,255015622,6327629824,0,"[675676450, 675676451, 675676452, 760657072, 760657073, 1191537874]",282.7870000000001,
12,255015622,255015624,0,23552138,49.837999999999994,
13,255015624,255025369,0,902912639,100.684,Avenida Ejército
14,255015624,6314219626,0,175588727,12.803,Calle la Recoleta
15,255015626,7105789186,0,403167388,5.683,Avenida de la Marina
16,255015626,1284479757,0,200028848,24.761999999999997,
17,255025369,255025373,0,24286560,40.551,Óvalo Miguel Grau
18,255025369,11010602478,0,24286560,22.361000000000004,Óvalo Miguel Grau
19,255025373,5534090493,0,1270964365,19.868000000000002,Óvalo Miguel Grau
20,255025373,2100151396,0,"[23552132, 200013500, 24286575]",208.71299999999997,Calle Puente Grau
21,255025391,876656059,0,354948232,18.423,Calle Santa Catalina
22,255025391,257689298,0,23994452,102.433,Calle Santa Catalina
23,255025391,1264289574,0,23552136,120.838,Calle Ugarte
24,255025392,1264284856,0,23552137,119.425,Calle Francisco de Zela
25,255025392,257689328,0,354948232,65.745,Calle Santa Catalina
26,255025392,257887190,0,354948232,58.376999999999995,Calle Santa Catalina
27,255025421,6314219626,0,175588727,140.025,Calle la Recoleta
28,255025421,4075488093,0,175588727,159.554,Calle la Recoleta
29,255025421,4075491941,0,23552147,84.364,Ronda Recoleta
30,255025425,5122593494,0,110822228,60.468,
31,255025425,4075491941,0,405343715,116.031,Ronda Recoleta
32,255025425,255025427,0,405343715,109.19500000000001,Ronda Recoleta
33,255025427,5186775693,0,110843401,50.717,Avenida Emmel
34,257553424,9487193848,0,1029022308,18.898,Avenida de la Marina
35,257553424,259757272,0,1276430731,10.637,Calle 28 de Julio
36,257553424,1284479741,0,370654146,99.784,Avenida de la Marina
37,257553430,11012886975,0,110812060,21.355,Avenida Salaverry
38,257553430,11009127066,0,1185165289,6.632,Alameda Mario Vargas Llosa
39,257553430,1264359104,0,419542150,202.461,Calle la Merced
40,257553430,2085078794,0,434310884,17.719,Calle Sucre
41,257553430,11009127065,0,1185165288,7.053,Avenida Salaverry
42,257553434,2084948813,0,198354872,7.008,Pasaje Martinetti
43,257553434,260365760,0,1185046362,77.154,Avenida Parra
44,257553434,5706313119,0,110810761,75.36099999999999,Pasaje Martinetti
45,257553434,9410645594,0,425166823,87.697,Avenida Parra
46,257553441,8374968447,0,103800664,11.375,
47,257553441,10904424405,0,103800670,20.694,Avenida Miguel Forga
48,257553441,11007937311,0,103800664,6.066,
49,257571168,10904424561,0,491223451,18.289,Avenida Miguel Forga
50,257571168,5375241714,0,557340194,353.261,Calle Víctor Lira
51,257571168,2087449451,0,198637981,17.489,Calle Jacinto Ibáñez
52,257571168,260368188,0,198637978,18.935,Calle Jacinto Ibáñez
53,257571168,10904424545,0,491223451,21.316000000000003,Avenida Miguel Forga
54,257689298,1264342650,0,23994451,120.85499999999999,Calle Moral
55,257689298,876656046,0,419739135,63.755,Santa Catalina
56,257689298,5380727094,0,23994451,123.365,Calle Moral
57,257689328,1264309103,0,113213186,117.398,Calle Puente Grau
58,257689328,257689498,0,354948232,72.07999999999998,Calle Santa Catalina
59,257689328,2365980323,0,534153225,61.99,Calle Puente Grau
60,257689498,531251853,0,113213184,15.23,Juan del la Torre
61,257689498,4055466962,0,403171364,26.921,
62,257689498,10997907541,0,113213184,17.675,Juan del la Torre
63,257689625,10885702067,0,113213184,17.477,Juan del la Torre
64,257689625,1264342868,0,1171478808,15.859,Pasaje Bayoneta
65,257689625,531251853,0,113213184,26.779999999999998,Juan del la Torre
66,257689666,1284563549,0,"[113219960, 23783058, 113219947, 1185558407]",86.91199999999999,
67,257689666,257889419,0,403167402,27.9,
68,257689666,1284479744,0,1191468774,159.278,Avenida de la Marina
69,257689666,1284479890,0,403167408,18.21,Avenida de la Marina
70,257689748,4336252344,0,356841216,12.872,Juan del la Torre
71,257689748,1264300204,0,"[175549049, 668365565, 668365566]",93.155,Quinta Vivanco
72,257689748,7112683822,0,356841216,25.96,Juan del la Torre
73,257689749,1284479890,0,356841216,47.964,Juan del la Torre
74,257689749,1736356090,0,"[1171486227, 1171486228, 161669167]",12.879999999999999,
75,257689749,4336252344,0,356841216,12.843,Juan del la Torre
76,257689988,259156435,0,1029074106,55.504999999999995,
77,257689988,259156405,0,1029074106,85.993,
78,257689988,1252984299,0,391466729,48.425000000000004,Calle Consuelo
79,257887190,257887385,0,354948232,123.298,Calle Santa Catalina
80,257887190,1284479824,0,110829876,61.718,Calle Francisco de Zela
81,257887385,4110736812,0,23798530,48.208,Calle Ugarte
82,257887385,876656059,0,354948232,4.308,Calle Santa Catalina
83,257888214,3605978251,0,405342780,32.542,Avenida de la Marina
84,257888214,257888216,0,200025387,26.006,Calle San Agustín
85,257888214,1284479835,0,1270954407,102.307,Avenida de la Marina
86,257888216,4055452452,0,110831198,10.9,Calle San Agustín
87,257888216,4055452451,0,370654129,7.581,Avenida de la Marina
88,257889419,2100151394,0,200029110,24.244,
89,257889419,1284479802,0,403167410,25.048,Avenida de la Marina
90,257889419,1284479766,0,403167399,22.628,Avenida de la Marina
91,257889677,4106794719,0,458554565,2.976,Avenida Francisco Bolognesi
