x_min,x_max,y_min,y_max,edges
-71.563754400000,0.000000000000,-16.432246300000,0.000000000000,1 2 3 4 
-71.563754400000,-35.781877200000,-8.216123150000,0.000000000000,
-35.781877200000,0.000000000000,-8.216123150000,0.000000000000,
-71.563754400000,-35.781877200000,-16.432246300000,-8.216123150000,5 6 7 8 
-35.781877200000,0.000000000000,-16.432246300000,-8.216123150000,
-71.563754400000,-53.672815800000,-12.324184725000,-8.216123150000,
-53.672815800000,-35.781877200000,-12.324184725000,-8.216123150000,
-71.563754400000,-53.672815800000,-16.432246300000,-12.324184725000,9 10 11 12 
-53.672815800000,-35.781877200000,-16.432246300000,-12.324184725000,
-71.563754400000,-62.618285100000,-14.378215512500,-12.324184725000,
-62.618285100000,-53.672815800000,-14.378215512500,-12.324184725000,
-71.563754400000,-62.618285100000,-16.432246300000,-14.378215512500,13 14 15 16 
-62.618285100000,-53.672815800000,-16.432246300000,-14.378215512500,
-71.563754400000,-67.091019750000,-15.405230906250,-14.378215512500,
-67.091019750000,-62.618285100000,-15.405230906250,-14.378215512500,
-71.563754400000,-67.091019750000,-16.432246300000,-15.405230906250,17 18 19 20 
-67.091019750000,-62.618285100000,-16.432246300000,-15.405230906250,
-71.563754400000,-69.327387075000,-15.918738603125,-15.405230906250,
-69.327387075000,-67.091019750000,-15.918738603125,-15.405230906250,
-71.563754400000,-69.327387075000,-16.432246300000,-15.918738603125,21 22 23 24 
-69.327387075000,-67.091019750000,-16.432246300000,-15.918738603125,
-71.563754400000,-70.445570737500,-16.175492451562,-15.918738603125,
-70.445570737500,-69.327387075000,-16.175492451562,-15.918738603125,
-71.563754400000,-70.445570737500,-16.432246300000,-16.175492451562,25 26 27 28 
-70.445570737500,-69.327387075000,-16.432246300000,-16.175492451562,
-71.563754400000,-71.004662568750,-16.303869375781,-16.175492451562,
-71.004662568750,-70.445570737500,-16.303869375781,-16.175492451562,
-71.563754400000,-71.004662568750,-16.432246300000,-16.303869375781,29 30 31 32 
-71.004662568750,-70.445570737500,-16.432246300000,-16.303869375781,
-71.563754400000,-71.284208484375,-16.368057837891,-16.303869375781,
-71.284208484375,-71.004662568750,-16.368057837891,-16.303869375781,
-71.563754400000,-71.284208484375,-16.432246300000,-16.368057837891,33 34 35 36 
-71.284208484375,-71.004662568750,-16.432246300000,-16.368057837891,
-71.563754400000,-71.423981442187,-16.400152068945,-16.368057837891,54 55 56 57 
-71.423981442187,-71.284208484375,-16.400152068945,-16.368057837891,
-71.563754400000,-71.423981442187,-16.432246300000,-16.400152068945,37 38 39 40 
-71.423981442187,-71.284208484375,-16.432246300000,-16.400152068945,
-71.563754400000,-71.493867921094,-16.384104953418,-16.368057837891,1217 1219 2627 2628 
-71.493867921094,-71.423981442187,-16.384104953418,-16.368057837891,
-71.563754400000,-71.493867921094,-16.400152068945,-16.384104953418,58 59 60 61 
-71.493867921094,-71.423981442187,-16.400152068945,-16.384104953418,
-71.563754400000,-71.493867921094,-16.416199184473,-16.400152068945,41 42 43 44 
-71.493867921094,-71.423981442187,-16.416199184473,-16.400152068945,
-71.563754400000,-71.493867921094,-16.432246300000,-16.416199184473,46 47 48 49 
-71.493867921094,-71.423981442187,-16.432246300000,-16.416199184473,
-71.563754400000,-71.528811160547,-16.376081395654,-16.368057837891,
-71.528811160547,-71.493867921094,-16.376081395654,-16.368057837891,
-71.563754400000,-71.528811160547,-16.384104953418,-16.376081395654,2629 2630 2631 2632 
-71.528811160547,-71.493867921094,-16.384104953418,-16.376081395654,
-71.563754400000,-71.528811160547,-16.392128511182,-16.384104953418,91 242 243 245 
-71.528811160547,-71.493867921094,-16.392128511182,-16.384104953418,267 268 1721 
-71.563754400000,-71.528811160547,-16.400152068945,-16.392128511182,62 63 64 65 
-71.528811160547,-71.493867921094,-16.400152068945,-16.392128511182,326 463 464 465 
-71.563754400000,-71.528811160547,-16.408175626709,-16.400152068945,107 113 114 115 
-71.528811160547,-71.493867921094,-16.408175626709,-16.400152068945,381 382 383 499 
-71.563754400000,-71.528811160547,-16.416199184473,-16.408175626709,45 116 117 118 
-71.528811160547,-71.493867921094,-16.416199184473,-16.408175626709,400 413 414 415 
-71.563754400000,-71.528811160547,-16.424222742236,-16.416199184473,50 51 52 53 
-71.528811160547,-71.493867921094,-16.424222742236,-16.416199184473,
-71.563754400000,-71.528811160547,-16.432246300000,-16.424222742236,370 371 372 373 
-71.528811160547,-71.493867921094,-16.432246300000,-16.424222742236,
-71.563754400000,-71.546282780273,-16.380093174536,-16.376081395654,
-71.546282780273,-71.528811160547,-16.380093174536,-16.376081395654,3131 
-71.563754400000,-71.546282780273,-16.384104953418,-16.380093174536,
-71.546282780273,-71.528811160547,-16.384104953418,-16.380093174536,2633 2634 2635 2636 
-71.563754400000,-71.546282780273,-16.388116732300,-16.384104953418,
-71.546282780273,-71.528811160547,-16.388116732300,-16.384104953418,437 438 928 929 
-71.563754400000,-71.546282780273,-16.392128511182,-16.388116732300,
-71.546282780273,-71.528811160547,-16.392128511182,-16.388116732300,250 252 253 264 
-71.563754400000,-71.546282780273,-16.396140290063,-16.392128511182,
-71.546282780273,-71.528811160547,-16.396140290063,-16.392128511182,67 68 69 70 
-71.563754400000,-71.546282780273,-16.400152068945,-16.396140290063,94 95 96 97 
-71.546282780273,-71.528811160547,-16.400152068945,-16.396140290063,76 78 83 84 
-71.528811160547,-71.511339540820,-16.396140290063,-16.392128511182,557 959 2225 2226 
-71.511339540820,-71.493867921094,-16.396140290063,-16.392128511182,
-71.528811160547,-71.511339540820,-16.400152068945,-16.396140290063,558 704 705 706 
-71.511339540820,-71.493867921094,-16.400152068945,-16.396140290063,
-71.563754400000,-71.546282780273,-16.404163847827,-16.400152068945,135 147 148 149 
-71.546282780273,-71.528811160547,-16.404163847827,-16.400152068945,132 146 197 198 
-71.563754400000,-71.546282780273,-16.408175626709,-16.404163847827,126 127 128 129 
-71.546282780273,-71.528811160547,-16.408175626709,-16.404163847827,132 133 138 139 
-71.528811160547,-71.511339540820,-16.404163847827,-16.400152068945,503 504 505 507 
-71.511339540820,-71.493867921094,-16.404163847827,-16.400152068945,
-71.528811160547,-71.511339540820,-16.408175626709,-16.404163847827,500 502 512 513 
-71.511339540820,-71.493867921094,-16.408175626709,-16.404163847827,
-71.563754400000,-71.546282780273,-16.412187405591,-16.408175626709,119 120 122 443 
-71.546282780273,-71.528811160547,-16.412187405591,-16.408175626709,391 392 393 405 
-71.563754400000,-71.546282780273,-16.416199184473,-16.412187405591,376 377 1103 1104 
-71.546282780273,-71.528811160547,-16.416199184473,-16.412187405591,424 425 426 431 
-71.528811160547,-71.511339540820,-16.412187405591,-16.408175626709,466 499 501 502 
-71.511339540820,-71.493867921094,-16.412187405591,-16.408175626709,
-71.528811160547,-71.511339540820,-16.416199184473,-16.412187405591,467 491 909 912 
-71.511339540820,-71.493867921094,-16.416199184473,-16.412187405591,
-71.563754400000,-71.546282780273,-16.420210963354,-16.416199184473,194 195 345 346 
-71.546282780273,-71.528811160547,-16.420210963354,-16.416199184473,204 205 206 207 
-71.563754400000,-71.546282780273,-16.424222742236,-16.420210963354,596 597 598 756 
-71.546282780273,-71.528811160547,-16.424222742236,-16.420210963354,123 124 125 208 
-71.563754400000,-71.546282780273,-16.428234521118,-16.424222742236,374 375 755 756 
-71.546282780273,-71.528811160547,-16.428234521118,-16.424222742236,
-71.563754400000,-71.546282780273,-16.432246300000,-16.428234521118,378 379 380 394 
-71.546282780273,-71.528811160547,-16.432246300000,-16.428234521118,
-71.546282780273,-71.537546970410,-16.382099063977,-16.380093174536,
-71.537546970410,-71.528811160547,-16.382099063977,-16.380093174536,
-71.546282780273,-71.537546970410,-16.384104953418,-16.382099063977,
-71.537546970410,-71.528811160547,-16.384104953418,-16.382099063977,2637 3121 3122 3123 
-71.546282780273,-71.537546970410,-16.386110842859,-16.384104953418,
-71.537546970410,-71.528811160547,-16.386110842859,-16.384104953418,4100 4439 
-71.546282780273,-71.537546970410,-16.388116732300,-16.386110842859,2746 
-71.537546970410,-71.528811160547,-16.388116732300,-16.386110842859,1370 1371 2031 2032 
-71.546282780273,-71.537546970410,-16.390122621741,-16.388116732300,1463 1464 2034 2726 
-71.537546970410,-71.528811160547,-16.390122621741,-16.388116732300,552 858 859 860 
-71.546282780273,-71.537546970410,-16.392128511182,-16.390122621741,1709 1715 1716 2722 
-71.537546970410,-71.528811160547,-16.392128511182,-16.390122621741,265 266 269 270 
-71.546282780273,-71.537546970410,-16.394134400623,-16.392128511182,1612 1613 1683 1684 
-71.537546970410,-71.528811160547,-16.394134400623,-16.392128511182,71 72 73 74 
-71.546282780273,-71.537546970410,-16.396140290063,-16.394134400623,639 640 799 892 
-71.537546970410,-71.528811160547,-16.396140290063,-16.394134400623,79 80 81 82 
-71.563754400000,-71.555018590137,-16.398146179504,-16.396140290063,
-71.555018590137,-71.546282780273,-16.398146179504,-16.396140290063,98 99 100 343 
-71.563754400000,-71.555018590137,-16.400152068945,-16.398146179504,
-71.555018590137,-71.546282780273,-16.400152068945,-16.398146179504,157 159 188 449 
-71.546282780273,-71.537546970410,-16.398146179504,-16.396140290063,86 87 180 181 
-71.537546970410,-71.528811160547,-16.398146179504,-16.396140290063,224 225 226 227 
-71.546282780273,-71.537546970410,-16.400152068945,-16.398146179504,102 103 104 105 
-71.537546970410,-71.528811160547,-16.400152068945,-16.398146179504,231 232 233 234 
-71.528811160547,-71.520075350684,-16.394134400623,-16.392128511182,
-71.520075350684,-71.511339540820,-16.394134400623,-16.392128511182,
-71.528811160547,-71.520075350684,-16.396140290063,-16.394134400623,3656 4474 
-71.520075350684,-71.511339540820,-16.396140290063,-16.394134400623,
-71.528811160547,-71.520075350684,-16.398146179504,-16.396140290063,1394 1395 3194 3195 
-71.520075350684,-71.511339540820,-16.398146179504,-16.396140290063,
-71.528811160547,-71.520075350684,-16.400152068945,-16.398146179504,774 775 776 1208 
-71.520075350684,-71.511339540820,-16.400152068945,-16.398146179504,
-71.563754400000,-71.555018590137,-16.402157958386,-16.400152068945,
-71.555018590137,-71.546282780273,-16.402157958386,-16.400152068945,158 160 175 176 
-71.563754400000,-71.555018590137,-16.404163847827,-16.402157958386,
-71.555018590137,-71.546282780273,-16.404163847827,-16.402157958386,152 154 155 161 
-71.546282780273,-71.537546970410,-16.402157958386,-16.400152068945,384 385 471 473 
-71.537546970410,-71.528811160547,-16.402157958386,-16.400152068945,416 417 418 419 
-71.546282780273,-71.537546970410,-16.404163847827,-16.402157958386,199 200 201 202 
-71.537546970410,-71.528811160547,-16.404163847827,-16.402157958386,492 493 494 495 
-71.563754400000,-71.555018590137,-16.406169737268,-16.404163847827,
-71.555018590137,-71.546282780273,-16.406169737268,-16.404163847827,130 134 136 410 
-71.563754400000,-71.555018590137,-16.408175626709,-16.406169737268,
-71.555018590137,-71.546282780273,-16.408175626709,-16.406169737268,1105 1106 1368 1369 
-71.546282780273,-71.537546970410,-16.406169737268,-16.404163847827,140 141 142 143 
-71.537546970410,-71.528811160547,-16.406169737268,-16.404163847827,396 397 398 399 
-71.546282780273,-71.537546970410,-16.408175626709,-16.406169737268,541 542 543 544 
-71.537546970410,-71.528811160547,-16.408175626709,-16.406169737268,584 585 586 673 
-71.528811160547,-71.520075350684,-16.402157958386,-16.400152068945,740 741 742 746 
